country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mali,,,,,,,,,,,,,,,,,,,,4,26
Malta,,,,2,31,60,86,77,83,85,85,85,91,88,94,91,86,83,95,95,99
Myanmar,,,,,,,,,57,65,75,80,,80,82,78,86,80,87,80,90
Montenegro,,,,,,,,95,96,96,97,97,97,94,95,94,86,83,86,81,76
Mongolia,75,95,96,98,98,98,96,97,96,97,95,98,98,97,98,98,90,98,98,98,96
Mozambique,,,,,,,,,,,,,,,,,36,45,58,64,62
Mauritius,,,,,80,78,85,80,83,85,90,89,90,85,85,96,92,95,99,99,87
Malawi,,,,,,,,,,,,,,,,8,61,67,72,75,75
Malaysia,,,,,,91,90,92,93,95,95,95,99,99,99,99,99,99,88,87,84
Namibia,,,,,,,,,,,,,,,,,,32,50,56,
Niger,,,,,,,,,,,,,,,3,16,31,46,48,58,60
Nigeria,,,,,,,,,,,,,,,,,,,,9,12
Nicaragua,,,,,,,,,,,,,,,,,,84,95,99,98
Netherlands,,,96,98,98,93,92,92,93,93,92,93,93,92,93,92,91,90,89,90,
Norway,90,90,90,89,90,91,91,93,95,96,97,94,91,91,92,91,91,91,93,95,95
Nepal,,,,,,,,,,,,,,,,,25,59,69,76,74
Nauru,,95,83,72,60,50,97,99,99,92,99,99,81,88,94,96,97,94,94,95,97
New Zealand,,,,,,,,,,,,86,85,86,86,87,89,90,90,90,91
Oman,99,99,98,98,98,97,97,95,98,99,99,99,99,99,99,98,99,99,99,99,
Pakistan,,,,,,,,,,30,34,38,42,43,48,54,67,67,67,71,74
Panama,88,88,88,89,89,89,86,83,79,76,73,81,72,68,90,92,93,93,99,97,74
Peru,,,,,,,,9,17,42,56,70,63,54,44,63,66,66,66,66,
Philippines,,,,,,,,,,19,10,36,42,54,59,67,66,67,67,68,68
Palau,75,83,90,94,98,95,98,83,77,79,39,83,86,98,81,82,95,77,75,88,83
Papua New Guinea,,,,,,,,,,,,,,,,,,,,20,27
Poland,96,96,97,97,96,90,99,98,97,95,94,95,95,93,95,94,93,93,92,92,
North Korea,,,,,,,,,75,75,76,76,76,76,76,85,98,98,99,98,99
Portugal,48,56,64,72,79,87,95,95,95,95,95,96,96,96,96,95,95,95,96,96,
Paraguay,,,,,,31,61,74,84,77,77,78,75,76,76,72,87,82,83,83,72
Palestine,95,94,93,94,94,97,92,87,99,97,94,95,97,98,99,99,99,99,99,99,99
Qatar,,,91,91,95,98,87,91,95,99,98,99,99,99,95,91,92,93,95,98,90
Romania,96,97,97,97,96,96,96,96,95,94,93,91,90,88,84,80,76,75,81,76,75
Russia,86,88,93,96,97,97,97,97,97,97,98,97,97,97,97,97,97,97,97,97,96
Rwanda,,,,,,,,,,,,,,,,87,90,95,96,92,91
Saudi Arabia,,96,96,97,97,97,97,98,98,98,98,97,98,99,98,96,96,96,97,96,96
Sudan,,,,,,,,,,,,,24,57,61,69,69,72,72,74,68
Senegal,,,,,,,,,,,,,,,13,54,57,59,62,68,69
Singapore,98,96,96,96,96,95,96,96,96,95,96,96,95,90,90,90,88,90,84,84,
Solomon Islands,,,,,,,,,,,,,,,,,,,54,54,51
Sierra Leone,,,,,,,,,,,,,,,,60,50,55,64,72,67
El Salvador,,,,77,80,85,89,86,79,82,78,81,95,85,85,88,87,86,85,87,56
San Marino,,,,94,94,94,94,94,92,92,90,92,89,85,86,86,81,78,84,79,79
Serbia,78,74,75,96,96,98,90,96,97,87,91,90,90,82,91,86,90,91,90,91,
Sao Tome and Principe,,,,,,,,,,,,,,,71,76,76,76,76,81,
Suriname,,,,,,,,,,,,,,33,33,43,58,56,54,58,50
Slovak Republic,99,99,99,99,98,98,99,98,99,99,99,99,99,99,98,98,97,97,97,98,98
Slovenia,98,98,98,98,99,99,99,98,98,98,96,96,96,95,94,96,93,94,94,94,91
Sweden,94,94,94,95,95,95,95,95,94,95,94,95,95,95,95,95,95,95,95,95,95
Eswatini,,,99,99,99,99,99,99,99,99,99,92,52,89,89,83,76,70,75,75,70
Seychelles,,98,99,99,99,99,99,99,98,99,98,99,99,97,98,98,99,99,97,99,99
Syria,80,83,84,83,82,81,81,81,81,82,82,71,53,51,49,47,52,59,54,54,53
Togo,,,,,,,,,,,,,,,,,,,,53,46
Thailand,99,86,89,92,95,95,94,94,91,91,91,91,91,94,94,95,95,95,87,87,
Tajikistan,59,72,93,94,98,92,96,90,87,93,95,96,97,92,98,94,97,98,97,97,97
Turkmenistan,92,94,87,89,90,98,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99
Timor-Leste,,,,,,,,,,,,,,,,,30,57,54,80,78
Tonga,,,,96,99,98,99,99,98,98,98,99,95,99,92,99,99,99,99,99,99
Trinidad and Tobago,,80,77,73,78,84,78,87,81,80,82,83,85,86,93,79,65,90,92,92,
Tunisia,98,99,98,99,99,99,98,98,99,97,98,97,96,98,91,94,91,91,92,93,92
Turkey,,91,83,97,97,98,84,94,92,88,91,86,85,98,88,86,85,86,87,88,93
Tuvalu,,99,97,93,90,86,83,74,82,84,87,90,93,84,91,86,92,94,81,92,85
Tanzania,,,,,,,,,,,,,,,29,53,63,67,68,72,67
Ukraine,99,98,98,99,97,96,98,96,95,68,41,56,54,54,57,57,31,84,90,92,82
Uruguay,,,,,,,,,,,,,,92,93,93,92,92,91,99,91
USA,85,86,86,86,86,86,86,86,87,88,89,90,91,91,92,93,94,94,94,95,95
Uzbekistan,98,98,97,98,99,81,63,44,26,8,54,99,99,99,99,99,99,99,99,99,99
St. Vincent and the Grenadines,,99,99,86,73,93,88,83,94,94,89,91,92,96,98,99,99,99,99,99,99
Venezuela,,,,,,,,,,6,31,26,33,38,50,52,53,59,39,13,28
Vietnam,,,,,,,,18,97,96,98,93,83,86,94,92,95,93,90,92,93
Samoa,,,84,65,45,26,6,36,46,14,30,50,52,72,63,48,44,42,13,44,44
Yemen,,,,,,21,26,32,35,38,43,46,40,47,45,41,49,46,46,46,46
South Africa,62,54,46,52,51,48,53,49,54,63,55,54,53,50,55,59,69,78,75,79,76
Zambia,,,,,,,,,,,,,,,33,47,58,64,65,66,66
Zimbabwe,,,,,,,,,,,,,,,,,63,78,78,75,74
